frame,cx,cy,radius,red_x,red_y,blue_x,blue_y
219,311,192,37,307,176,-1,-1
220,311,192,37,306,180,-1,-1
221,311,192,37,306,184,-1,-1
222,311,192,37,306,188,-1,-1
223,311,192,37,306,193,-1,-1
224,310,192,38,307,197,-1,-1
225,312,192,36,308,202,-1,-1
226,312,192,36,310,205,-1,-1
227,310,192,37,313,208,-1,-1
228,312,192,36,316,211,-1,-1
229,312,192,36,320,212,-1,-1
230,311,193,38,322,214,-1,-1
231,311,192,37,326,215,-1,-1
232,311,192,37,328,216,-1,-1
233,311,192,38,332,215,-1,-1
234,310,192,37,-1,-1,-1,-1
235,311,192,38,-1,-1,-1,-1
236,311,192,38,-1,-1,-1,-1
237,311,192,38,-1,-1,-1,-1
238,311,192,38,-1,-1,-1,-1
239,311,192,38,-1,-1,-1,-1
240,312,193,37,-1,-1,-1,-1
241,312,192,38,-1,-1,-1,-1
242,312,192,37,-1,-1,-1,-1
243,312,192,37,-1,-1,-1,-1
244,312,192,37,-1,-1,-1,-1
245,312,192,37,-1,-1,-1,-1
246,312,192,37,-1,-1,-1,-1
247,312,192,37,-1,-1,-1,-1
248,312,193,37,-1,-1,-1,-1
249,312,192,39,333,166,-1,-1
250,312,192,38,330,165,-1,-1
251,312,192,38,326,163,-1,-1
252,311,192,38,323,163,-1,-1
253,312,192,38,320,164,-1,-1
254,312,192,37,316,165,-1,-1
255,312,191,39,314,167,-1,-1
256,312,192,36,311,169,-1,-1
257,312,192,36,309,172,-1,-1
258,312,192,36,307,176,-1,-1
259,312,192,36,305,179,-1,-1
260,312,192,37,305,184,-1,-1
261,312,192,38,305,188,-1,-1
262,312,192,38,306,197,-1,-1
263,312,192,37,309,205,-1,-1
264,312,192,37,312,209,-1,-1
265,312,192,37,315,211,-1,-1
266,312,192,37,318,213,-1,-1
267,312,192,37,322,215,-1,-1
268,312,192,36,325,216,-1,-1
269,312,192,37,328,216,-1,-1
270,312,192,37,330,216,-1,-1
271,312,192,37,-1,-1,-1,-1
272,312,192,37,-1,-1,-1,-1
273,312,193,37,-1,-1,-1,-1
274,312,192,37,-1,-1,-1,-1
275,310,194,37,-1,-1,-1,-1
276,310,193,38,-1,-1,-1,-1
277,312,192,36,-1,-1,-1,-1
278,312,192,36,-1,-1,-1,-1
279,312,192,36,-1,-1,-1,-1
280,312,192,36,-1,-1,-1,-1
281,312,192,37,-1,-1,-1,-1
282,312,192,36,-1,-1,-1,-1
283,312,192,37,-1,-1,-1,-1
284,312,192,36,-1,-1,-1,-1
285,312,193,37,-1,-1,-1,-1
286,312,192,37,-1,-1,-1,-1
287,312,192,38,330,165,-1,-1
288,312,193,37,-1,-1,-1,-1
289,312,193,37,323,165,-1,-1
290,312,193,37,320,164,-1,-1
291,312,192,37,317,165,-1,-1
292,312,192,37,314,167,-1,-1
293,312,192,37,311,169,-1,-1
294,312,192,37,309,172,-1,-1
295,312,192,37,307,175,-1,-1
296,312,192,37,305,179,-1,-1
297,312,192,37,305,184,-1,-1
298,312,192,37,304,188,-1,-1
299,312,192,37,304,192,-1,-1
300,311,192,37,305,197,-1,-1
301,312,192,37,306,201,-1,-1
302,312,192,37,308,205,-1,-1
303,312,192,37,311,208,-1,-1
304,312,192,37,314,211,-1,-1
305,311,193,38,317,214,-1,-1
306,312,192,36,321,216,-1,-1
307,312,192,37,324,217,-1,-1
308,312,192,36,327,216,-1,-1
309,312,192,36,329,216,-1,-1
310,311,193,38,333,216,-1,-1
311,311,193,38,334,216,-1,-1
312,312,193,38,-1,-1,-1,-1
313,311,193,38,-1,-1,-1,-1
314,312,192,36,-1,-1,-1,-1
315,312,192,37,-1,-1,-1,-1
316,310,193,39,-1,-1,-1,-1
317,311,193,38,-1,-1,-1,-1
318,312,192,36,-1,-1,-1,-1
319,312,192,36,-1,-1,-1,-1
320,312,192,36,-1,-1,-1,-1
321,312,192,36,-1,-1,-1,-1
322,312,192,36,-1,-1,-1,-1
323,312,192,36,-1,-1,-1,-1
324,312,192,37,-1,-1,-1,-1
325,312,192,37,-1,-1,-1,-1
326,312,192,37,-1,-1,-1,-1
327,312,192,37,327,165,-1,-1
328,312,192,37,323,163,-1,-1
329,312,193,37,320,164,-1,-1
330,311,192,38,316,165,-1,-1
331,311,192,38,313,166,-1,-1
332,312,192,37,311,169,-1,-1
333,312,192,37,308,171,-1,-1
334,311,192,37,306,175,-1,-1
335,312,192,37,304,179,-1,-1
336,312,192,37,303,183,-1,-1
337,314,194,40,303,188,-1,-1
338,310,192,37,303,192,-1,-1
339,310,192,37,304,196,-1,-1
340,310,192,37,305,200,-1,-1
341,310,192,37,307,204,-1,-1
342,310,192,37,309,208,-1,-1
343,310,192,37,312,210,-1,-1
344,310,192,37,315,213,-1,-1
345,310,192,37,319,215,-1,-1
346,310,192,36,322,216,-1,-1
