frame,cx,cy,radius,red_x,red_y,blue_x,blue_y
390,310,200,37,-1,-1,-1,-1
391,311,201,38,-1,-1,-1,-1
392,310,200,36,-1,-1,-1,-1
393,310,200,38,-1,-1,-1,-1
394,310,201,38,-1,-1,313,173
395,310,202,37,-1,-1,313,183
396,310,201,38,-1,-1,313,198
397,310,201,38,-1,-1,314,213
398,310,200,37,-1,-1,314,225
399,311,201,38,-1,-1,316,232
400,310,202,37,-1,-1,-1,-1
401,311,201,38,294,176,-1,-1
402,310,201,38,293,186,-1,-1
403,310,202,38,292,199,-1,-1
404,310,202,38,294,213,-1,-1
405,312,202,37,-1,-1,-1,-1
406,310,202,37,-1,-1,-1,-1
407,310,202,37,-1,-1,-1,-1
408,310,202,38,-1,-1,-1,-1
409,310,202,38,-1,-1,-1,-1
410,311,202,37,-1,-1,313,177
411,310,202,37,-1,-1,313,189
412,310,203,38,-1,-1,313,204
413,310,202,36,-1,-1,313,219
414,309,202,36,-1,-1,314,228
415,310,202,36,-1,-1,-1,-1
416,310,202,36,-1,-1,-1,-1
417,311,202,39,293,179,-1,-1
418,310,204,37,293,191,-1,-1
419,311,204,37,293,205,-1,-1
420,310,204,38,294,218,-1,-1
421,311,203,38,296,229,-1,-1
422,311,204,37,-1,-1,-1,-1
423,309,204,36,-1,-1,-1,-1
424,310,203,38,-1,-1,-1,-1
425,310,204,38,-1,-1,-1,-1
426,311,204,37,-1,-1,312,181
427,311,203,38,-1,-1,312,194
428,310,204,38,-1,-1,312,210
429,311,204,37,-1,-1,313,224
430,310,204,37,-1,-1,313,232
431,310,204,38,-1,-1,-1,-1
432,311,204,37,-1,-1,-1,-1
433,310,204,38,293,183,-1,-1
434,311,204,38,292,196,-1,-1
435,312,204,37,293,210,-1,-1
436,310,204,37,294,223,-1,-1
437,312,204,37,-1,-1,-1,-1
438,311,204,37,-1,-1,-1,-1
439,311,204,37,-1,-1,-1,-1
440,310,204,38,-1,-1,-1,-1
441,311,204,37,-1,-1,312,176
442,311,204,37,-1,-1,311,186
443,312,204,37,-1,-1,311,200
444,311,204,37,-1,-1,311,216
445,310,204,37,-1,-1,312,228
446,310,204,37,-1,-1,310,235
447,310,204,37,-1,-1,-1,-1
448,311,204,38,293,178,-1,-1
449,310,204,38,293,188,-1,-1
450,311,205,38,292,201,-1,-1
451,312,204,37,293,216,-1,-1
452,311,205,38,295,228,-1,-1
453,310,205,38,-1,-1,-1,-1
454,310,205,38,-1,-1,-1,-1
455,310,205,38,-1,-1,-1,-1
456,310,205,38,-1,-1,-1,-1
457,311,204,38,-1,-1,311,180
458,312,204,36,-1,-1,310,192
459,310,205,38,-1,-1,310,207
460,309,204,36,-1,-1,311,221
461,310,204,37,-1,-1,312,231
462,310,204,38,-1,-1,-1,-1
463,310,204,39,294,175,-1,-1
464,310,204,36,293,181,-1,-1
465,310,204,37,293,193,-1,-1
466,310,205,38,292,207,-1,-1
467,311,205,38,295,221,-1,-1
468,311,205,38,-1,-1,-1,-1
469,310,206,37,-1,-1,-1,-1
470,310,206,37,-1,-1,-1,-1
471,310,205,38,-1,-1,-1,-1
472,310,205,38,-1,-1,-1,-1
473,310,205,38,-1,-1,309,184
474,310,205,38,-1,-1,309,197
475,310,204,38,-1,-1,309,213
476,310,205,38,-1,-1,310,227
477,310,204,37,-1,-1,312,233
478,310,204,38,-1,-1,-1,-1
479,310,205,38,296,177,-1,-1
480,309,204,36,293,185,-1,-1
481,311,205,38,292,198,-1,-1
482,311,205,38,293,212,-1,-1
483,311,205,38,294,225,-1,-1
484,312,205,39,-1,-1,-1,-1
485,311,205,38,-1,-1,-1,-1
486,310,205,38,-1,-1,-1,-1
487,310,205,38,-1,-1,-1,-1
488,310,205,38,-1,-1,-1,-1
489,310,204,38,-1,-1,309,188
490,312,204,37,-1,-1,308,203
491,311,204,38,-1,-1,309,218
492,311,205,38,-1,-1,310,230
493,310,204,37,-1,-1,-1,-1
494,310,204,37,-1,-1,-1,-1
495,311,204,38,294,178,-1,-1
496,310,204,37,293,189,-1,-1
497,310,204,38,292,203,-1,-1
498,310,204,37,293,217,-1,-1
499,310,204,38,294,228,-1,-1
500,310,204,37,-1,-1,-1,-1
501,310,204,38,-1,-1,-1,-1
502,311,204,37,-1,-1,-1,-1
503,310,203,38,-1,-1,-1,-1
504,311,204,38,-1,-1,309,180
505,312,204,37,-1,-1,308,192
506,310,204,38,-1,-1,307,207
507,310,203,38,-1,-1,308,222
508,310,202,36,-1,-1,310,230
509,310,204,38,-1,-1,-1,-1
510,310,204,37,-1,-1,-1,-1
511,311,203,38,293,180,-1,-1
512,310,204,37,293,192,-1,-1
513,311,203,38,292,206,-1,-1
514,310,204,37,294,220,-1,-1
515,311,204,37,-1,-1,-1,-1
516,311,203,38,-1,-1,-1,-1
517,311,203,38,-1,-1,-1,-1
518,311,203,38,-1,-1,-1,-1
519,310,203,38,-1,-1,-1,-1
520,311,202,37,-1,-1,307,182
521,312,202,37,-1,-1,306,195
522,312,202,38,-1,-1,307,210
523,311,202,37,-1,-1,308,224
524,311,202,37,-1,-1,311,231
525,311,201,38,-1,-1,-1,-1
526,311,201,38,296,173,-1,-1
527,311,201,38,293,182,-1,-1
528,311,202,38,292,195,-1,-1
529,312,202,36,293,209,-1,-1
530,311,201,38,294,221,-1,-1
531,311,202,38,-1,-1,-1,-1
532,309,202,36,-1,-1,-1,-1
533,311,202,37,-1,-1,-1,-1
534,311,202,37,-1,-1,-1,-1
535,310,201,38,-1,-1,-1,-1
536,311,201,38,-1,-1,306,184
537,312,200,36,-1,-1,306,199
538,312,200,37,-1,-1,307,214
539,312,200,36,-1,-1,309,225
540,312,200,38,-1,-1,315,231
541,310,200,37,-1,-1,-1,-1
542,311,200,38,294,174,-1,-1
543,312,200,38,293,184,-1,-1
544,312,200,37,292,198,-1,-1
545,312,200,37,293,212,-1,-1
546,312,200,38,294,225,-1,-1
547,311,200,37,-1,-1,-1,-1
548,311,200,38,-1,-1,-1,-1
549,311,200,38,-1,-1,-1,-1
550,310,200,38,-1,-1,-1,-1
